Model,Style,Error_Count,Total_Count,Style_Accuracy,Accuracy_Drop,Avg_Confidence
ResNeXt-101,graffiti,268,323,0.17027863777089783,0.6880546955624355,0.24661514330251666
ResNeXt-101,tattoo,376,467,0.1948608137044968,0.6634725196288365,0.22317287780153036
ResNeXt-101,pattern,89,112,0.20535714285714285,0.6529761904761904,0.31996262369544376
ResNeXt-101,plush object,207,266,0.22180451127819548,0.6365288220551378,0.23143093480511492
ResNeXt-101,cartoon,230,296,0.22297297297297297,0.6353603603603604,0.27636441723066
ResNeXt-101,embroidery,367,475,0.22736842105263158,0.6309649122807017,0.2907759761418167
ResNeXt-101,origami,89,119,0.25210084033613445,0.6062324929971988,0.21467295572349504
ResNeXt-101,art,33,45,0.26666666666666666,0.5916666666666666,0.2943388221992387
ResNeXt-101,line drawing,298,414,0.28019323671497587,0.5781400966183574,0.26187009798083904
ResNeXt-101,toy,37,53,0.3018867924528302,0.556446540880503,0.22633515930963014
ResNeXt-101,video game,28,41,0.3170731707317073,0.541260162601626,0.22322964286658822
ResNeXt-101,plastic object,151,237,0.3628691983122363,0.495464135021097,0.2543714070920577
ResNeXt-101,graphics,95,159,0.4025157232704403,0.455817610062893,0.2778325928550846
ResNeXt-101,sculpture,190,329,0.42249240121580545,0.43584093211752784,0.24260867769776145
ResNeXt-101,painting,283,664,0.5737951807228916,0.2845381526104417,0.2988940659680415
MobileNet-V3,tattoo,430,467,0.07922912205567452,0.7132708779443254,0.2189052241836421
MobileNet-V3,graffiti,289,323,0.10526315789473684,0.6872368421052631,0.2539497220963701
MobileNet-V3,toy,47,53,0.11320754716981132,0.6792924528301887,0.24363551534852892
MobileNet-V3,plush object,232,266,0.12781954887218044,0.6646804511278195,0.2816483839169929
MobileNet-V3,cartoon,258,296,0.12837837837837837,0.6641216216216216,0.3034677701070905
MobileNet-V3,pattern,97,112,0.13392857142857142,0.6585714285714286,0.2903222399763763
MobileNet-V3,embroidery,410,475,0.1368421052631579,0.6556578947368421,0.31352944942681416
MobileNet-V3,line drawing,348,414,0.15942028985507245,0.6330797101449275,0.24534178398783513
MobileNet-V3,art,37,45,0.17777777777777778,0.6147222222222222,0.3004448126587603
MobileNet-V3,origami,96,119,0.19327731092436976,0.5992226890756303,0.24304565086084254
MobileNet-V3,video game,32,41,0.21951219512195122,0.5729878048780488,0.3237783365496775
MobileNet-V3,plastic object,181,237,0.23628691983122363,0.5562130801687764,0.29974012685947526
MobileNet-V3,graphics,118,159,0.2578616352201258,0.5346383647798743,0.3099915401881221
MobileNet-V3,sculpture,242,329,0.26443768996960487,0.5280623100303952,0.2640409665720079
MobileNet-V3,painting,359,664,0.45933734939759036,0.3331626506024096,0.38716601312205373
ViT-B16-V1,tattoo,411,467,0.11991434689507495,0.730085653104925,0.4435319372749941
ViT-B16-V1,graffiti,274,323,0.15170278637770898,0.698297213622291,0.3986925580437892
ViT-B16-V1,pattern,92,112,0.17857142857142858,0.6714285714285714,0.4640672723762691
ViT-B16-V1,plush object,216,266,0.18796992481203006,0.66203007518797,0.45925117798037546
ViT-B16-V1,embroidery,381,475,0.19789473684210526,0.6521052631578947,0.5184293163606996
ViT-B16-V1,toy,42,53,0.20754716981132076,0.6424528301886792,0.44301310547117917
ViT-B16-V1,cartoon,230,296,0.22297297297297297,0.6270270270270271,0.525280049876184
ViT-B16-V1,line drawing,312,414,0.2463768115942029,0.6036231884057971,0.44351636374522235
ViT-B16-V1,video game,30,41,0.2682926829268293,0.5817073170731707,0.44860976007653447
ViT-B16-V1,art,32,45,0.28888888888888886,0.5611111111111111,0.48385695649517907
ViT-B16-V1,origami,84,119,0.29411764705882354,0.5558823529411765,0.48323709295452144
ViT-B16-V1,sculpture,225,329,0.3161094224924012,0.5338905775075988,0.47653510698929746
ViT-B16-V1,graphics,106,159,0.3333333333333333,0.5166666666666666,0.4984384906601231
ViT-B16-V1,plastic object,158,237,0.3333333333333333,0.5166666666666666,0.5093736295207141
ViT-B16-V1,painting,284,664,0.572289156626506,0.27771084337349394,0.5912371971644461
ViT-B16-SWAG,graffiti,206,323,0.3622291021671827,0.5102708978328174,0.4935952967073157
ViT-B16-SWAG,video game,26,41,0.36585365853658536,0.5066463414634147,0.5528339970766044
ViT-B16-SWAG,origami,75,119,0.3697478991596639,0.5027521008403362,0.5705393661721414
ViT-B16-SWAG,art,27,45,0.4,0.47250000000000003,0.5948202232519786
ViT-B16-SWAG,plush object,159,266,0.40225563909774437,0.4702443609022557,0.5587852846943122
ViT-B16-SWAG,embroidery,274,475,0.4231578947368421,0.44934210526315793,0.6229747197502538
ViT-B16-SWAG,tattoo,263,467,0.43683083511777304,0.435669164882227,0.5191392760157457
ViT-B16-SWAG,pattern,63,112,0.4375,0.43500000000000005,0.5576391735646341
ViT-B16-SWAG,cartoon,157,296,0.46959459459459457,0.4029054054054055,0.6328655400917538
ViT-B16-SWAG,toy,27,53,0.49056603773584906,0.381933962264151,0.5501176034504512
ViT-B16-SWAG,plastic object,118,237,0.5021097046413502,0.37039029535864987,0.6358129145098135
ViT-B16-SWAG,line drawing,198,414,0.5217391304347826,0.35076086956521746,0.5981206864316538
ViT-B16-SWAG,sculpture,150,329,0.5440729483282675,0.3284270516717326,0.6392998138278451
ViT-B16-SWAG,graphics,71,159,0.5534591194968553,0.3190408805031447,0.6774728762559921
ViT-B16-SWAG,painting,174,664,0.7379518072289156,0.13454819277108443,0.741376673410007
